链接,文件名
http://chinajob.mohrss.gov.cn/c/2021-07-16/315319.shtml,人力资源社会保障部办公厅关于发布《电子劳动合同订立指引》的通知（人社厅发〔2021〕54号）
http://chinajob.mohrss.gov.cn/c/2021-07-16/315297.shtml,北京市人力资源和社会保障局 关于印发《关于进一步增强本市自贸区内 企业用工灵活性的若干措施》的通知（京人社劳发〔2021〕24号）
http://chinajob.mohrss.gov.cn/c/2021-07-16/315296.shtml,北京市人力资源和社会保障局 北京市财政局 北京市发展和改革委员会 北京市经济和信息化局 关于延续实施失业保险稳岗返还政策的通知（京人社就发〔2021〕23号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313760.shtml,陕西省人力资源和社会保障厅  关于发布2021年度企业工资指导线的通知（陕人社发〔2021〕16号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313757.shtml,陕西省人力资源和社会保障厅 陕西省发展和改革委员会 陕西省教育厅 陕西省财政厅 陕西省军区动员局  关于延续实施部分减负稳岗扩就业 政策措施的通知（陕人社发〔2021〕15号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313755.shtml,陕西省人力资源和社会保障厅 陕西省财政厅  关于延续失业保险稳岗返还及扩围政策有关问题的通知（陕人社发〔2021〕14号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313705.shtml,上海市关于调整本市失业保险金支付标准的通知（沪人社规〔2021〕21号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313707.shtml,上海市关于调整本市工伤人员伤残津贴和生活护理费标准的通知（沪人社规〔2021〕19号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313711.shtml,上海市关于调整本市最低工资标准的通知（沪人社规〔2021〕18号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313713.shtml,上海市关于本市2021年办理申领基本养老金手续的企业参保人员计发基本养老金的补充通知（沪人社规〔2021〕17号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313709.shtml,上海市人力资源和社会保障局等四部门关于做好本市公益性岗位补贴工作有关事项的通知（沪人社规〔2021〕23号）
http://chinajob.mohrss.gov.cn/c/2021-07-09/313758.shtml,山东省人力资源和社会保障厅关于做好2021届离校未就业高校毕业生  信息衔接等有关服务工作的通知
http://chinajob.mohrss.gov.cn/c/2021-07-09/313759.shtml,辽宁省关于印发《辽宁省人力资源和社会保障厅辽宁省总工会劳动争议调裁对接工作规则》的通知
http://chinajob.mohrss.gov.cn/c/2021-07-09/313753.shtml,河南省人力资源和社会保障厅关于增补河南省工伤保险医疗转诊机构的通知（ 豫人社办函 〔2021〕111号）
http://chinajob.mohrss.gov.cn/c/2021-07-08/313469.shtml,贵州省人力资源和社会保障厅 贵州省财政厅关于2021年调整退休人员基本养老金的通知（黔人社发〔2021〕6号）
http://chinajob.mohrss.gov.cn/c/2021-07-08/313466.shtml,贵州省人力资源社会保障厅等五部门关于延续实施若干减负稳岗扩就业政策措施的通知（黔人社发〔2021〕10号）
http://chinajob.mohrss.gov.cn/c/2021-07-05/312584.shtml,人力资源社会保障部 国家乡村振兴局关于印发《国家乡村振兴重点帮扶地区职业技能提升工程实施方案》的通知（人社部发〔2021〕45号）
http://chinajob.mohrss.gov.cn/c/2021-06-30/311949.shtml,重庆市人力资源和社会保障局重庆市财政局关于2021年调整退休人员基本养老金的通知（渝人社发〔2021〕22号）
http://chinajob.mohrss.gov.cn/c/2021-06-25/311236.shtml,人力资源社会保障部办公厅 国家乡村振兴局综合司 全国妇联办公厅关于开展家政服务劳务对接助力乡村振兴行动的通知（人社厅发〔2021〕46号）
http://chinajob.mohrss.gov.cn/c/2021-06-24/311039.shtml,吉林省关于2021年调整退休人员基本养老金的通知（吉人社联〔2021〕58 号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310615.shtml,国家医保局 财政部 国家税务总局关于做好2021年城乡居民基本医疗保障工作的通知（医保发〔2021〕32号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310384.shtml,江苏省人力资源社会保障厅 省财政厅 关于2021年调整退休人员基本养老金的通知（苏人社发〔2021〕46号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310382.shtml,江苏省人力资源社会保障厅等十五部门关于印发《江苏省公益性岗位开发管理办法》的通知（苏人社规〔2021〕3号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310366.shtml,北京市人力资源和社会保障局 北京市财政局 关于深入推进职业技能提升行动“互联网+职业技能培训”工作的通知（京人社能发〔2021〕14号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310365.shtml,北京市人力资源和社会保障局 北京市财政局 关于2021年调整本市退休人员基本养老金的通知（京人社养发〔2021〕16号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310362.shtml,北京市人力资源和社会保障局 关于调整失业保险金发放标准的通告（京人社发〔2021〕5号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310361.shtml,北京市人力资源和社会保障局 关于调整北京市2021年最低工资标准的通知（京人社劳发〔2021〕77号）
http://chinajob.mohrss.gov.cn/c/2021-06-18/310360.shtml,北京市关于合并申报2021年度“五险一金”缴费工资有关问题的通知（京人社保发〔2021〕18号）
http://chinajob.mohrss.gov.cn/c/2021-06-15/309493.shtml,安徽省关于2021年调整退休人员基本养老金的通知（皖人社发〔2021〕6号）
http://chinajob.mohrss.gov.cn/c/2021-06-15/309491.shtml,福建省人力资源和社会保障厅 福建省农业农村厅关于加强茶产业职业技能提升十条措施的通知（闽人社文〔2021〕66号）
